osm_id,plant_name,bmu_id,ngc_bmu_id,bmu_type,source,notes
way/239248123,Fasnakyle Power Station,E_FASN-4,FASN-4,E,auto,
way/239248123,Fasnakyle Power Station,T_FASN-2,FASN2,T,auto,
way/239248123,Fasnakyle Power Station,E_FASN-3,FASN3,E,auto,
way/247279710,Clunie Power Station,M_CAS-CLU01,CAS-CLU01,T,auto,
way/253091365,Jamesfield Organic Centre - Battery Storage,E_JAMBB-1,JAMBB-1,E,auto,
way/253091365,Jamesfield Organic Centre - Battery Storage,E_JAMBB-2,JAMBB-2,E,auto,
way/264087413,Clachan Power Station,E_CLAC-1,CLAC-1,E,auto,
way/264087413,Clachan Power Station,T_CLACD-1,CLACD-1,T,auto,
way/264087413,Clachan Power Station,E_CLFLW-1,CLFLW-1,E,auto,
way/294548158,Foyers Falls Power Station,T_FOYE-1,FOYE-1,T,auto,
way/294548158,Foyers Falls Power Station,T_FOYE-2,FOYE-2,T,auto,
way/294548158,Foyers Falls Power Station,T_FOYED-1,FOYED-1,T,auto,
way/295169560,Luichart Power Station,T_LUICD-1,LUICD-1,T,auto,
way/449382772,Foyers Power Station,T_FOYE-1,FOYE-1,T,auto,
way/449382772,Foyers Power Station,T_FOYE-2,FOYE-2,T,auto,
way/449382772,Foyers Power Station,T_FOYED-1,FOYED-1,T,auto,
way/467788297,Errochty Hydroelectric Power Station,T_ERRO-1,ERRO-1,T,auto,
way/467788297,Errochty Hydroelectric Power Station,T_ERRO-2,ERRO-2,T,auto,
way/467788297,Errochty Hydroelectric Power Station,T_ERRO-3,ERRO-3,T,auto,
way/563018026,Deanie Power Station,T_DEAND-1,DEAND-1,T,auto,
way/570076477,Nant Power Station,T_NANT-1,NANT-1,T,auto,
way/627198590,River Pattack Hydro Scheme,T_NTRVB-1,NTRVB-1,T,auto,
way/843623847,River Grudie Hydroelectric Scheme,T_NTRVB-1,NTRVB-1,T,auto,
way/852042890,River E Hydro Scheme,T_NTRVB-1,NTRVB-1,T,auto,
way/956323027,River Taodail Hydro,T_NTRVB-1,NTRVB-1,T,auto,
way/956325766,River Coiltie Hydro Scheme,T_NTRVB-1,NTRVB-1,T,auto,
way/1017473264,Glen Finglas,T_GLNKW-1,GLNKW-1,T,auto,
way/1017473264,Glen Finglas,T_GNAPW-1,GNAPW-1,T,auto,
way/1020439730,St. Fillans Power Station,T_SFILD-1,SFILD-1,T,auto,
way/1214798355,Hydro Ness,2__PMARB002,KNLCV-1,S,auto,
